Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,,
Yearly Income (excluding OAS Pension and GIS) From,Yearly Income (excluding OAS Pension and GIS) To,Monthly GIS with Maximum OAS Pension ($),Combined Monthly OAS Pension and GIS ($)
Revenu annuel (sauf la pension de la SV et le SRG) De,Revenu annuel (sauf la pension de la SV et le SRG) ·,SRG mensuel pour montant maximal de la pension de la SV ($),Total mensuel de la pension de la SV et du SRG ($)
"5,952.00","5,975.99",589.12,"1,204.49"
"5,976.00","5,983.99",588.12,"1,203.49"
"5,984.00","5,999.99",587.12,"1,202.49"
"6,000.00","6,023.99",586.12,"1,201.49"
"6,024.00","6,031.99",585.12,"1,200.49"
"6,032.00","6,047.99",584.12,"1,199.49"
"6,048.00","6,071.99",583.12,"1,198.49"
"6,072.00","6,079.99",582.12,"1,197.49"
"6,080.00","6,095.99",581.12,"1,196.49"
"6,096.00","6,119.99",580.12,"1,195.49"
"6,120.00","6,127.99",579.12,"1,194.49"
"6,128.00","6,143.99",578.12,"1,193.49"
"6,144.00","6,167.99",577.12,"1,192.49"
"6,168.00","6,175.99",576.12,"1,191.49"
"6,176.00","6,191.99",575.12,"1,190.49"
"6,192.00","6,215.99",574.12,"1,189.49"
"6,216.00","6,223.99",573.12,"1,188.49"
"6,224.00","6,239.99",572.12,"1,187.49"
"6,240.00","6,263.99",571.12,"1,186.49"
"6,264.00","6,271.99",570.12,"1,185.49"
"6,272.00","6,287.99",569.12,"1,184.49"
"6,288.00","6,311.99",568.12,"1,183.49"
"6,312.00","6,319.99",567.12,"1,182.49"
"6,320.00","6,335.99",566.12,"1,181.49"
"6,336.00","6,359.99",565.12,"1,180.49"
"6,360.00","6,367.99",564.12,"1,179.49"
"6,368.00","6,383.99",563.12,"1,178.49"
"6,384.00","6,407.99",562.12,"1,177.49"
"6,408.00","6,415.99",561.12,"1,176.49"
"6,416.00","6,431.99",560.12,"1,175.49"
"6,432.00","6,455.99",559.12,"1,174.49"
"6,456.00","6,463.99",558.12,"1,173.49"
"6,464.00","6,479.99",557.12,"1,172.49"
"6,480.00","6,503.99",556.12,"1,171.49"
"6,504.00","6,511.99",555.12,"1,170.49"
"6,512.00","6,527.99",554.12,"1,169.49"
