from,to,gis,gis&oas
#Amount Effective from January to March 2021/Montant en vigueur en janvier � mars 2021,,,
#Combined Yearly Income of couple (excluding OAS Pension and GIS) From ($),Combined Yearly Income of couple (excluding OAS Pension and GIS) To ($),Monthly GIS with Maximum OAS Pension for each recipient ($),Combined Monthly OAS Pension and GIS ($)
#Revenu annuel du couple (sauf la pension de la SV et le SRG) De ($),Revenu annuel du couple (sauf la pension de la SV et le SRG) � ($),SRG mensuel pour montant maximal de la pension de la SV pour chaque b�n�ficiaire ($),Total mensuel de la pension de la SV et du SRG ($)
"21,552.00","21,599.99",63.94,679.31
"21,600.00","21,647.99",62.94,678.31
"21,648.00","21,695.99",61.94,677.31
"21,696.00","21,743.99",60.94,676.31
"21,744.00","21,791.99",59.94,675.31
"21,792.00","21,839.99",58.94,674.31
"21,840.00","21,887.99",57.94,673.31
"21,888.00","21,935.99",56.94,672.31
"21,936.00","21,983.99",55.94,671.31
"21,984.00","22,031.99",54.94,670.31
"22,032.00","22,079.99",53.94,669.31
"22,080.00","22,127.99",52.94,668.31
"22,128.00","22,175.99",51.94,667.31
"22,176.00","22,223.99",50.94,666.31
"22,224.00","22,271.99",49.94,665.31
"22,272.00","22,319.99",48.94,664.31
"22,320.00","22,367.99",47.94,663.31
"22,368.00","22,415.99",46.94,662.31
"22,416.00","22,463.99",45.94,661.31
"22,464.00","22,511.99",44.94,660.31
"22,512.00","22,559.99",43.94,659.31
"22,560.00","22,607.99",42.94,658.31
"22,608.00","22,655.99",41.94,657.31
"22,656.00","22,703.99",40.94,656.31
"22,704.00","22,751.99",39.94,655.31
"22,752.00","22,799.99",38.94,654.31
"22,800.00","22,847.99",37.94,653.31
"22,848.00","22,895.99",36.94,652.31
"22,896.00","22,943.99",35.94,651.31
"22,944.00","22,991.99",34.94,650.31
"22,992.00","23,039.99",33.94,649.31
"23,040.00","23,087.99",32.94,648.31
"23,088.00","23,135.99",31.94,647.31
"23,136.00","23,183.99",30.94,646.31
"23,184.00","23,231.99",29.94,645.31
"23,232.00","23,279.99",28.94,644.31
"23,280.00","23,327.99",27.94,643.31
"23,328.00","23,375.99",26.94,642.31
"23,376.00","23,423.99",25.94,641.31
"23,424.00","23,471.99",24.94,640.31
"23,472.00","23,519.99",23.94,639.31
"23,520.00","23,567.99",22.94,638.31
"23,568.00","23,615.99",21.94,637.31
"23,616.00","23,663.99",20.94,636.31
"23,664.00","23,711.99",19.94,635.31
"23,712.00","23,759.99",18.94,634.31
"23,760.00","23,807.99",17.94,633.31
"23,808.00","23,855.99",16.94,632.31
"23,856.00","23,903.99",15.94,631.31
"23,904.00","23,951.99",14.94,630.31
"23,952.00","23,999.99",13.94,629.31
"24,000.00","24,047.99",12.94,628.31
"24,048.00","24,095.99",11.94,627.31
"24,096.00","24,143.99",10.94,626.31
"24,144.00","24,191.99",9.94,625.31
"24,192.00","24,239.99",8.94,624.31
"24,240.00","24,287.99",7.94,623.31
"24,288.00","24,335.99",6.94,622.31
"24,336.00","24,383.99",5.94,621.31
"24,384.00","24,431.99",4.94,620.31
"24,432.00","24,479.99",3.94,619.31
"24,480.00","24,527.99",2.94,618.31
"24,528.00","24,575.99",1.94,617.31
"24,576.00","24,623.99",0.94,616.31
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
