Amount Effective from January to March 2021/Montant en vigueur en janvier à mars 2021,,
Yearly Income (excluding Allowance for the Survivor) From ($),Yearly Income (excluding Allowance for the Survivor) To ($),Monthly Allowance for the Survivor ($)
Revenu annuel (excluant l'Allocation au survivant) De ($),Revenu annuel (excluant l'Allocation au survivant) À ($),Allocation mensuelle au survivant ($)
"18,216.00","18,239.99",288.35
"18,240.00","18,263.99",287.35
"18,264.00","18,287.99",286.35
"18,288.00","18,311.99",285.35
"18,312.00","18,335.99",284.35
"18,336.00","18,359.99",283.35
"18,360.00","18,383.99",282.35
"18,384.00","18,407.99",281.35
"18,408.00","18,431.99",280.35
"18,432.00","18,455.99",279.35
"18,456.00","18,479.99",278.35
"18,480.00","18,503.99",277.35
"18,504.00","18,527.99",276.35
"18,528.00","18,551.99",275.35
"18,552.00","18,575.99",274.35
"18,576.00","18,599.99",273.35
"18,600.00","18,623.99",272.35
"18,624.00","18,647.99",271.35
"18,648.00","18,671.99",270.35
"18,672.00","18,695.99",269.35
"18,696.00","18,719.99",268.35
"18,720.00","18,743.99",267.35
"18,744.00","18,767.99",266.35
"18,768.00","18,791.99",265.35
"18,792.00","18,815.99",264.35
"18,816.00","18,839.99",263.35
"18,840.00","18,863.99",262.35
"18,864.00","18,887.99",261.35
"18,888.00","18,911.99",260.35
"18,912.00","18,935.99",259.35
"18,936.00","18,959.99",258.35
"18,960.00","18,983.99",257.35
"18,984.00","19,007.99",256.35
"19,008.00","19,031.99",255.35
"19,032.00","19,055.99",254.35
"19,056.00","19,079.99",253.35
"19,080.00","19,103.99",252.35
"19,104.00","19,127.99",251.35
"19,128.00","19,151.99",250.35
"19,152.00","19,175.99",249.35
"19,176.00","19,199.99",248.35
"19,200.00","19,223.99",247.35
"19,224.00","19,247.99",246.35
"19,248.00","19,271.99",245.35
